neg,เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสิ้นค้า
neg,สินค้าด้อยคุณภาพ
neg,สินค้าหมดทำไมไม่แจ้งขึ้นว่าหมดอะ.กดใส่ตะกร้าไปเถอะ.เซ็งเรย
neg,อย่าทำแบบนี้กับใครอีกนะค่ะแย่มากค่ะ
neg,คือเเบบผิดหวังมาก เเย่ที่สุดได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวพอจบเเยก😢
neg,ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้
neg,แย่มากกกกกกค่ะ เอาของพังมาให้ฉุนมาดค่ะไม่พอใจเป็นอย่างมากค่ะ. ส่งของ ก็ไม่ได้ใบเสร็จ. ไม่ไหวจะเคลียร์
neg,ไม่แนะนำซื้อมาใช้ได้วันเดียวใช้ไม่ได้แล้ว
neg,แย่ๆสั่งสินค้าไปหลายวันแล้วไม่ส่งให้สักทีเหนื่อยกับการรอคอย
neg,เสียความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว ไม่ดี
pos,ยอดเยี่ยมค่ะ ราคาเหมาะสม บอกต่อได้เลยค่ะ
pos,สวยค่ะ เหมือนในรูปเลย ชอบค่ะ ส่งของไวมากก
pos,ใช้ดีค่ะหน้านุ่มและขาวขึ้น
pos,จัดส่งเร็วมาก สะดวกดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี
pos,ชอบสินค้ามาก ไม่ผิดหวังที่รอ สวยยังบรรจุภัณฑ์คับ
pos,สินค้าส่งรวดเร็ว พอใจในสินค้าครับ
pos,สินค้าคุณภาพดี แข็งแรง เสียงดี เด็กๆ ชอบ และยังส่งเร็วด้วยค่ะ
pos,ราคากับคุณภาพของสินค้ามีความเหมาะสม ใช้งานง่าย
pos,ส่งของไว ห่อพัสดุดี  ของใช้งานเยี่ยม
pos,สวยค่ะ การจัดส่งก็รวดเร็วดีค่ะ
neg,ใช้เดือนเดียวพังแย่ๆมากๆ
neg,เสียใจความรู้สึกมากกระเป๋าบางมากไม่ตรงกะแบบสินค้าที่ลงการแพ็คของส่งก็แย่เอาถุงดำที่ใส่ขยะแถมสกปรกมากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆปรับปรุงด่วน!!!! 
neg,การส่งของแย่มาก ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคเสียหายจะทำยังไง
neg,ใช้ในรถระบบเสีย พังใช้ต่อไม่ได้
neg,ผิดหวัง ลบไม่ออก
neg,หมดอายุแล้วไม่ควรเอามาลงขายค่ะเสียใจผิดหวังมากๆค่ะกว่าจะหมดแพงด้วยนะ
neg,ส่งช้ามาก ตอนนี้ยังไม่ได้ของ
neg,ได้รับของแล้วผิดหวังมาก ไม่ดีเลยค่ะ
neg,สินค้าไม่มีคุณภาพสายกางเกงไม่เท่ากัน
neg,ช้าสุดๆรอจนรำคาญละ
pos,คุณภาพคุ้มค่าครับ
pos,ส่งเร็วดี ใช้ดีคุ้มมาก ราคาถูก
pos,ได้รับสินค้าเร็วค่ะ และสินค้าก็มีคุณภาพ สวมใส่สบายตัวมากๆๆ เลยค่ะ
pos,ได้รับของเร็วมาก.. แถมสินค้าได้ตามต้องการสวยมาก
pos,รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้วรู้สึกว่าดีนะ
pos,ใช้ได้ดีเหมาะกับราคานี้ ก็สรุปว่าดีครับ
